unit_id,lcdb_class,area_ha,advisory_rule_ids,pre1990_overlap_m2,pre1990_overlap_pct,conservation_overlap_m2,conservation_overlap_pct,max_overlap_pct
lcdb1000611763,Low Producing Grassland,2.573,R-03-low-overlap,179.8,0.6988,0.0,0.0,0.6988
lcdb1000036629,Low Producing Grassland,88.5019,R-03-low-overlap,6104.72,0.6898,0.0,0.0,0.6898
lcdb1000401061,High Producing Exotic Grassland,47.2204,R-03-low-overlap,3181.5,0.6738,0.0,0.0,0.6738
lcdb1000403942,High Producing Exotic Grassland,9.6237,R-04-low-overlap,0.0,0.0,643.17,0.6683,0.6683
lcdb1000058340,Low Producing Grassland,507.2029,R-03-low-overlap,33622.53,0.6629,0.0,0.0,0.6629
lcdb1000057731,Low Producing Grassland,27.2227,R-03-low-overlap,1802.35,0.6621,0.0,0.0,0.6621
lcdb1000400000,High Producing Exotic Grassland,4270.3732,R-03-low-overlap|R-04-low-overlap,27997.72,0.0656,280938.16,0.6579,0.6579
lcdb1000035378-part-40,High Producing Exotic Grassland,7961.5374,R-03-low-overlap|R-04-low-overlap,521522.61,0.6551,41269.2,0.0518,0.6551
lcdb1000073646,Gorse and/or Broom,19.8273,R-03-low-overlap,1294.63,0.653,0.0,0.0,0.653
lcdb2000508808,Low Producing Grassland,3.0632,R-03-low-overlap,197.28,0.644,0.0,0.0,0.644
lcdb1000036705,High Producing Exotic Grassland,3.1054,R-04-low-overlap,0.0,0.0,199.47,0.6423,0.6423
lcdb1000035434,High Producing Exotic Grassland,95.451,R-03-low-overlap,6075.28,0.6365,0.0,0.0,0.6365
lcdb1000072135,Gorse and/or Broom,33.4905,R-04-low-overlap,0.0,0.0,2075.38,0.6197,0.6197
lcdb1000035680-part-105,High Producing Exotic Grassland,183.9162,R-03-low-overlap,11366.81,0.618,0.0,0.0,0.618
lcdb1000700794,High Producing Exotic Grassland,4.4087,R-03-low-overlap,271.75,0.6164,0.0,0.0,0.6164
lcdb1000035865,High Producing Exotic Grassland,11154.9646,R-03-low-overlap|R-04-low-overlap,679040.62,0.6087,111615.53,0.1001,0.6087
lcdb1000035378-part-20,High Producing Exotic Grassland,14771.3378,R-03-low-overlap|R-04-low-overlap,894927.14,0.6059,48186.9,0.0326,0.6059
lcdb1000034792,High Producing Exotic Grassland,286.3356,R-03-low-overlap|R-04-low-overlap,16470.92,0.5752,13275.87,0.4636,0.5752
lcdb1000034129,High Producing Exotic Grassland,8.6141,R-04-low-overlap,0.0,0.0,494.61,0.5742,0.5742
lcdb1000036408,High Producing Exotic Grassland,4.2692,R-03-low-overlap,241.41,0.5655,0.0,0.0,0.5655
lcdb1000400847,High Producing Exotic Grassland,60.9996,R-03-low-overlap,3441.4,0.5642,0.0,0.0,0.5642
lcdb1000058009,Low Producing Grassland,3.5814,R-03-low-overlap,201.96,0.5639,0.0,0.0,0.5639
lcdb2000500263,High Producing Exotic Grassland,152.4922,R-03-low-overlap,7979.52,0.5233,0.0,0.0,0.5233
lcdb1000034308,High Producing Exotic Grassland,120.6178,R-03-low-overlap,6301.75,0.5225,0.0,0.0,0.5225
lcdb1000057593,Low Producing Grassland,13.6817,R-03-low-overlap,694.45,0.5076,0.0,0.0,0.5076
